INFO 2025-06-17 03:55:05,154 autoreload Watching for file changes with StatReloader
INFO 2025-06-17 03:55:33,223 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:33,225 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:33,226 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:33,230 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:33,243 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:33,248 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:33,252 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:33,291 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:33,297 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:33,298 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:33,299 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:33,965 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:33,990 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:33,996 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:33,998 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:34,021 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:34,023 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:34,027 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:34,046 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:34,110 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:34,111 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:34,113 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:34,114 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:34,786 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:34,787 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:34,788 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:34,789 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:34,806 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:34,806 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:34,815 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:35,700 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
